Epoch: [72][50/53]	Loss 0.8796 (1.1607)
Epoch: [73][0/53]	Loss 1.0176 (1.0176)
Epoch: [73][10/53]	Loss 1.9787 (1.2605)
Epoch: [73][20/53]	Loss 1.1570 (1.2731)
Epoch: [73][30/53]	Loss 1.0297 (1.2896)
Epoch: [73][40/53]	Loss 0.9404 (1.2577)
Epoch: [73][50/53]	Loss 1.5178 (1.2495)
Epoch: [74][0/53]	Loss 1.6037 (1.6037)
Epoch: [74][10/53]	Loss 1.2717 (1.3466)
Epoch: [74][20/53]	Loss 1.5159 (1.2763)
Epoch: [74][30/53]	Loss 1.3781 (1.2125)
Epoch: [74][40/53]	Loss 1.2046 (1.2103)
Epoch: [74][50/53]	Loss 1.0068 (1.2239)
Epoch: [75][0/53]	Loss 1.0326 (1.0326)
Epoch: [75][10/53]	Loss 1.4524 (1.1923)
Epoch: [75][20/53]	Loss 1.5678 (1.2067)
Epoch: [75][30/53]	Loss 1.2117 (1.1739)
Epoch: [75][40/53]	Loss 1.0724 (1.1470)
Epoch: [75][50/53]	Loss 0.8665 (1.1397)
Epoch: [76][0/53]	Loss 1.9186 (1.9186)
Epoch: [76][10/53]	Loss 1.4558 (1.2288)
Epoch: [76][20/53]	Loss 1.0663 (1.1825)
Epoch: [76][30/53]	Loss 0.8313 (1.1707)
Epoch: [76][40/53]	Loss 0.9935 (1.1625)
Epoch: [76][50/53]	Loss 1.6530 (1.1696)
Epoch: [77][0/53]	Loss 1.2583 (1.2583)
Epoch: [77][10/53]	Loss 1.3041 (1.2996)
Epoch: [77][20/53]	Loss 1.1898 (1.2135)
Epoch: [77][30/53]	Loss 0.8846 (1.2443)
Epoch: [77][40/53]	Loss 1.0802 (1.2534)
Epoch: [77][50/53]	Loss 1.1989 (1.2393)
Epoch: [78][0/53]	Loss 1.2048 (1.2048)
Epoch: [78][10/53]	Loss 1.4970 (1.4368)
Epoch: [78][20/53]	Loss 1.4580 (1.3622)
Epoch: [78][30/53]	Loss 1.1980 (1.3062)
Epoch: [78][40/53]	Loss 1.1540 (1.2619)
Epoch: [78][50/53]	Loss 1.0897 (1.2406)
Epoch: [79][0/53]	Loss 1.2493 (1.2493)
Epoch: [79][10/53]	Loss 0.9653 (1.0601)
Epoch: [79][20/53]	Loss 0.9680 (1.1007)
Epoch: [79][30/53]	Loss 1.1739 (1.1062)
Epoch: [79][40/53]	Loss 0.7732 (1.1119)
Epoch: [79][50/53]	Loss 1.0765 (1.1022)
Epoch: [80][0/53]	Loss 0.8961 (0.8961)
Epoch: [80][10/53]	Loss 1.1643 (1.3675)
Epoch: [80][20/53]	Loss 1.2406 (1.3071)
Epoch: [80][30/53]	Loss 0.9666 (1.2686)
Epoch: [80][40/53]	Loss 1.0919 (1.2557)
Epoch: [80][50/53]	Loss 1.0224 (1.2449)
Epoch: [81][0/53]	Loss 1.0227 (1.0227)
Epoch: [81][10/53]	Loss 1.4043 (1.3496)
Epoch: [81][20/53]	Loss 1.1981 (1.2835)
Epoch: [81][30/53]	Loss 1.3988 (1.2293)
Epoch: [81][40/53]	Loss 1.1821 (1.1970)
Epoch: [81][50/53]	Loss 1.1235 (1.1957)
Epoch: [82][0/53]	Loss 1.0863 (1.0863)
Epoch: [82][10/53]	Loss 1.1774 (1.1829)
Epoch: [82][20/53]	Loss 1.2003 (1.2248)
Epoch: [82][30/53]	Loss 1.0240 (1.1929)
Epoch: [82][40/53]	Loss 0.9242 (1.2066)
Epoch: [82][50/53]	Loss 0.9742 (1.1855)
Epoch: [83][0/53]	Loss 1.1667 (1.1667)
Epoch: [83][10/53]	Loss 1.2726 (1.2267)
Epoch: [83][20/53]	Loss 1.0708 (1.2020)
Epoch: [83][30/53]	Loss 1.6209 (1.2002)
Epoch: [83][40/53]	Loss 0.9828 (1.1555)
Epoch: [83][50/53]	Loss 0.9346 (1.1733)
Epoch: [84][0/53]	Loss 1.4774 (1.4774)
Epoch: [84][10/53]	Loss 1.1851 (1.2338)
Epoch: [84][20/53]	Loss 1.0023 (1.1732)
Epoch: [84][30/53]	Loss 1.0920 (1.1598)
Epoch: [84][40/53]	Loss 1.4460 (1.1859)
Epoch: [84][50/53]	Loss 1.2044 (1.1770)
Epoch: [85][0/53]	Loss 1.2464 (1.2464)
Epoch: [85][10/53]	Loss 1.0661 (1.7006)
Epoch: [85][20/53]	Loss 1.1180 (1.5386)
Epoch: [85][30/53]	Loss 1.3336 (1.4383)
Epoch: [85][40/53]	Loss 1.3777 (1.3519)
Epoch: [85][50/53]	Loss 1.1511 (1.3155)
Epoch: [86][0/53]	Loss 1.6598 (1.6598)
Epoch: [86][10/53]	Loss 1.2335 (1.3551)
Epoch: [86][20/53]	Loss 0.9356 (1.3732)
Epoch: [86][30/53]	Loss 1.3945 (1.2981)
Epoch: [86][40/53]	Loss 1.3580 (1.2790)
Epoch: [86][50/53]	Loss 1.1215 (1.2447)
Epoch: [87][0/53]	Loss 1.1396 (1.1396)
Epoch: [87][10/53]	Loss 1.5312 (1.2483)
Epoch: [87][20/53]	Loss 1.3533 (1.2265)
Epoch: [87][30/53]	Loss 1.1004 (1.1642)
Epoch: [87][40/53]	Loss 1.3022 (1.2063)
Epoch: [87][50/53]	Loss 1.5583 (1.1893)
Epoch: [88][0/53]	Loss 1.0276 (1.0276)
Epoch: [88][10/53]	Loss 1.7862 (1.2700)
Epoch: [88][20/53]	Loss 1.6720 (1.2579)
Epoch: [88][30/53]	Loss 1.5872 (1.2550)
Epoch: [88][40/53]	Loss 1.2181 (1.2421)
Epoch: [88][50/53]	Loss 1.0421 (1.2503)
Epoch: [89][0/53]	Loss 1.2432 (1.2432)
Epoch: [89][10/53]	Loss 1.0864 (1.3046)
Epoch: [89][20/53]	Loss 1.1995 (1.2438)
Epoch: [89][30/53]	Loss 1.2065 (1.2202)
Epoch: [89][40/53]	Loss 0.8377 (1.2012)
Epoch: [89][50/53]	Loss 1.1154 (1.1940)
Epoch: [90][0/53]	Loss 1.1833 (1.1833)
Epoch: [90][10/53]	Loss 0.9909 (1.1703)
Epoch: [90][20/53]	Loss 1.1816 (1.1657)
Epoch: [90][30/53]	Loss 1.0180 (1.1949)
Epoch: [90][40/53]	Loss 1.0551 (1.1811)
Epoch: [90][50/53]	Loss 1.3321 (1.1688)
Epoch: [91][0/53]	Loss 0.8953 (0.8953)
Epoch: [91][10/53]	Loss 1.6703 (1.1484)
Epoch: [91][20/53]	Loss 1.4583 (1.1483)
Epoch: [91][30/53]	Loss 0.9153 (1.0854)
Epoch: [91][40/53]	Loss 1.3979 (1.0807)
Epoch: [91][50/53]	Loss 1.2073 (1.0832)
Epoch: [92][0/53]	Loss 1.3719 (1.3719)
Epoch: [92][10/53]	Loss 0.8589 (0.9838)
Epoch: [92][20/53]	Loss 0.8432 (1.0247)
Epoch: [92][30/53]	Loss 0.8154 (1.0337)
Epoch: [92][40/53]	Loss 1.0724 (1.0596)
Epoch: [92][50/53]	Loss 0.9359 (1.0738)
Epoch: [93][0/53]	Loss 1.1451 (1.1451)
Epoch: [93][10/53]	Loss 0.9960 (1.1018)
Epoch: [93][20/53]	Loss 0.8781 (1.0620)
Epoch: [93][30/53]	Loss 1.1136 (1.1089)
Epoch: [93][40/53]	Loss 1.6001 (1.1093)
Epoch: [93][50/53]	Loss 0.9569 (1.1122)
Epoch: [94][0/53]	Loss 0.9718 (0.9718)
Epoch: [94][10/53]	Loss 1.0917 (1.0541)
Epoch: [94][20/53]	Loss 1.9870 (1.1160)
Epoch: [94][30/53]	Loss 0.9224 (1.1207)
Epoch: [94][40/53]	Loss 1.2373 (1.1260)
Epoch: [94][50/53]	Loss 1.0424 (1.1238)
Epoch: [95][0/53]	Loss 1.1770 (1.1770)
Epoch: [95][10/53]	Loss 1.7147 (1.2405)
Epoch: [95][20/53]	Loss 0.8011 (1.1757)
Epoch: [95][30/53]	Loss 0.9006 (1.1229)
Epoch: [95][40/53]	Loss 1.3360 (1.0988)
Epoch: [95][50/53]	Loss 0.8282 (1.0829)
Epoch: [96][0/53]	Loss 0.9670 (0.9670)
Epoch: [96][10/53]	Loss 0.8850 (1.0823)
Epoch: [96][20/53]	Loss 0.7049 (1.0658)
Epoch: [96][30/53]	Loss 0.7222 (1.0409)
Epoch: [96][40/53]	Loss 0.9253 (1.0557)
Epoch: [96][50/53]	Loss 0.9810 (1.0532)
Epoch: [97][0/53]	Loss 1.0946 (1.0946)
Epoch: [97][10/53]	Loss 0.8499 (1.0179)
Epoch: [97][20/53]	Loss 1.1853 (1.0626)
Epoch: [97][30/53]	Loss 1.0410 (1.0609)
Epoch: [97][40/53]	Loss 0.9229 (1.0475)
Epoch: [97][50/53]	Loss 0.9005 (1.0567)
Epoch: [98][0/53]	Loss 1.0001 (1.0001)
Epoch: [98][10/53]	Loss 1.0216 (1.0840)
Epoch: [98][20/53]	Loss 1.0244 (1.0403)
Epoch: [98][30/53]	Loss 0.9754 (1.0476)
Epoch: [98][40/53]	Loss 1.0855 (1.0365)
Epoch: [98][50/53]	Loss 0.9311 (1.0329)
Epoch: [99][0/53]	Loss 0.8605 (0.8605)
Epoch: [99][0/53]	Loss 0.9603 (0.9603)
Epoch: [99][10/53]	Loss 1.1162 (1.0728)
Epoch: [99][20/53]	Loss 0.9619 (1.0627)
Epoch: [99][30/53]	Loss 0.6999 (1.0445)
Epoch: [99][40/53]	Loss 1.2437 (1.0762)
Epoch: [99][50/53]	Loss 1.2595 (1.0537)
Epoch: [100][0/53]	Loss 1.2234 (1.2234)
Epoch: [100][10/53]	Loss 0.8591 (1.1216)
Epoch: [100][20/53]	Loss 1.3035 (1.1689)
Epoch: [100][30/53]	Loss 0.9281 (1.1346)
Epoch: [100][40/53]	Loss 0.8628 (1.0977)
Epoch: [100][50/53]	Loss 0.9969 (1.0909)
Epoch: [101][0/53]	Loss 1.2395 (1.2395)
Epoch: [101][10/53]	Loss 1.7877 (1.3296)
Epoch: [101][20/53]	Loss 1.0611 (1.2948)
Epoch: [101][30/53]	Loss 1.4623 (1.2628)
Epoch: [101][40/53]	Loss 1.0895 (1.1986)
Epoch: [101][50/53]	Loss 1.0972 (1.1600)
Epoch: [102][0/53]	Loss 1.1988 (1.1988)
